EN_Reaction,Protein,GuessedStoichiometry,SubunitID
R00036,WP_031779279.1,8,
R00066,WP_020333251.1,60,
R00066,WP_020333699.1,60,
R00084,WP_020334065.1,1,
R00124,WP_014230937.1,4,
R00127,WP_014231127.1,1,
R00130,WP_020333951.1,1,
R00137,WP_014234741.1,1,
R00156,WP_014230937.1,4,
R00158,WP_005494271.1,6,
R00161,WP_020335928.1,1,
R00183,WP_020332984.1,1,
R00183,WP_020333325.1,1,
R00183,WP_020334911.1,1,
R00183,WP_024372917.1,1,
R00183,WP_024372975.1,1,
R00189,WP_020333748.1,2,
R00189,WP_020335374.1,2,
R00200,WP_014230734.1,4,
R00200,WP_020335623.1,4,
R00209,WP_014232944.1,2,
R00209,WP_020336079.1,2,
R00220,WP_020333560.1,4,
R00228,WP_020333215.1,1,
R00230,WP_014232520.1,6,
R00230,WP_020335188.1,6,
R00238,WP_061778630.1,1,
R00239,WP_014231006.1,4,
R00245,WP_020335027.1,2,
R00245,WP_024372956.1,2,
R00257,WP_020333748.1,2,
R00259,WP_014232813.1,6,
R00259,WP_014233156.1,1,
R00261,WP_020333004.1,1,
R00264,WP_020333868.1,1,
R00267,WP_014231318.1,2,
R00268,WP_014231318.1,2,
R00277,WP_014235106.1,2,
R00278,WP_014235106.1,2,
R00289,WP_014233119.1,5,
R00299,WP_020335259.1,1,
R00310,WP_020333364.1,1,
R00315,WP_014232519.1,2,
R00315,WP_020336024.1,2,
R00330,WP_014230937.1,4,
R00332,WP_014230561.1,4,
R00341,WP_014230529.1,1,
R00342,WP_014230708.1,2,
R00345,WP_014233161.1,4,
R00351,WP_020334027.1,6,
R00357,WP_014233002.1,1,
R00416,WP_014233410.1,3,
R00425,WP_014231011.1,2,
R00425,WP_014232379.1,2,
R00428,WP_014233818.1,10,
R00430,WP_014230734.1,4,
R00430,WP_020335623.1,4,
R00451,WP_020334062.1,2,
R00470,WP_020335092.1,3,
R00470,WP_020336248.1,3,
R00472,WP_014230918.1,1,
R00473,WP_020335782.1,1,
R00479,WP_020333635.1,4,
R00480,WP_014231961.1,2,
R00480,WP_020333960.1,2,
R00480,WP_020334525.1,2,
R00480,WP_020334621.1,4,
R00480,WP_020335910.1,4,
R00481,WP_014233002.1,1,
R00489,WP_020333004.1,1,
R00497,WP_020333997.1,4,
R00509,WP_020335741.1,1,
R00509,WP_020335813.1,1,
R00511,WP_020332984.1,1,
R00511,WP_020333325.1,1,
R00511,WP_020334911.1,1,
R00511,WP_024372917.1,1,
R00511,WP_024372975.1,1,
R00548,WP_020334058.1,1,
R00549,WP_020335928.1,1,
R00551,WP_020333152.1,1,
R00566,WP_024373026.1,4,
R00570,WP_014230937.1,4,
R00571,WP_020333971.1,4,
R00573,WP_020333971.1,4,
R00582,WP_014232862.1,1,
R00586,WP_014233221.1,6,
R00631,WP_020333868.1,1,
R00658,WP_014232985.1,2,
R00669,WP_014233160.1,2,
R00670,WP_020333507.1,1,
R00691,WP_020333562.1,1,
R00691,WP_020335942.1,2,
R00694,WP_014232358.1,2,
R00694,WP_024372863.1,2,
R00707,WP_020335027.1,2,
R00707,WP_024372956.1,2,
R00708,WP_020335027.1,2,
R00708,WP_024372956.1,2,
R00710,WP_020333868.1,1,
R00713,WP_020335229.1,4,
R00713,WP_020335349.1,4,
R00713,WP_020336395.1,4,
R00714,WP_020335229.1,4,
R00714,WP_020335349.1,4,
R00714,WP_020336395.1,4,
R00722,WP_014230937.1,4,
R00734,WP_014232358.1,2,
R00734,WP_024372863.1,2,
R00750,WP_020333217.1,1,
R00756,WP_014233238.1,4,
R00762,WP_020335825.1,4,
R00762,WP_024372772.1,2,
R00768,WP_020335851.1,2,
R00782,WP_020332971.1,4,
R00782,WP_020335210.1,2,
R00813,WP_020334210.1,1,
R00829,WP_061778630.1,1,
R00835,WP_014231951.1,1,
R00835,WP_020336052.1,1,
R00858,WP_020334599.1,4,
R00858,WP_020334601.1,8,
R00894,WP_020333954.1,1,
R00897,WP_024372701.1,2,
R00897,WP_061778637.1,2,
R00904,WP_020333868.1,1,
R00908,WP_014234566.1,1,
R00908,WP_020335347.1,1,
R00908,WP_020336394.1,1,
R00908,WP_024373021.1,1,
R00921,WP_014232520.1,6,
R00921,WP_020335188.1,6,
R00927,WP_061778630.1,1,
R00931,WP_020336340.1,2,
R00936,WP_014230714.1,1,
R00937,WP_014230714.1,1,
R00939,WP_014230714.1,1,
R00940,WP_014230714.1,1,
R00942,WP_020334565.1,1,
R00943,WP_020334925.1,1,
R00945,WP_014234563.1,2,
R00945,WP_020333718.1,2,
R00945,WP_020334946.1,2,
R00946,WP_020334526.1,1,
R00959,WP_020334023.1,1,
R00963,WP_020332984.1,1,
R00963,WP_020333325.1,1,
R00963,WP_020334911.1,1,
R00963,WP_024372917.1,1,
R00963,WP_024372975.1,1,
R00965,WP_020335616.1,2,
R00994,WP_020335844.1,2,
R00996,WP_020333560.1,4,
R00999,WP_020334622.1,4,
R01015,WP_020335791.1,2,
R01025,WP_020333794.1,1,
R01049,WP_014231062.1,6,
R01056,WP_014233012.1,2,
R01057,WP_020334023.1,1,
R01061,WP_014232584.1,4,
R01061,WP_020334051.1,4,
R01061,WP_020334141.1,4,
R01067,WP_020333990.1,1,
R01067,WP_020334176.1,1,
R01068,WP_014233018.1,2,
R01070,WP_014233018.1,2,
R01072,WP_014232604.1,4,
R01073,WP_020335571.1,2,
R01083,WP_014231477.1,4,
R01086,WP_014233156.1,1,
R01090,WP_014234314.1,6,
R01123,WP_020334385.1,8,
R01126,WP_020332984.1,1,
R01126,WP_020333325.1,1,
R01126,WP_020334911.1,1,
R01126,WP_024372917.1,1,
R01126,WP_024372975.1,1,
R01127,WP_020334699.1,1,
R01130,WP_020333650.1,4,
R01135,WP_014233201.1,2,
R01135,WP_020334438.1,2,
R01137,WP_014230937.1,4,
R01138,WP_014230734.1,4,
R01138,WP_020335623.1,4,
R01157,WP_014233532.1,1,
R01168,WP_020334089.1,1,
R01177,WP_061778630.1,1,
R01209,WP_020333559.1,2,
R01213,WP_014230726.1,2,
R01213,WP_020333887.1,2,
R01214,WP_014234314.1,6,
R01220,WP_014231181.1,2,
R01221,WP_014232944.1,2,
R01221,WP_020334943.1,1,
R01221,WP_020334947.1,1,
R01221,WP_020336079.1,2,
R01226,WP_020333937.1,10,
R01227,WP_020332984.1,1,
R01227,WP_020333325.1,1,
R01227,WP_020334911.1,1,
R01227,WP_024372917.1,1,
R01227,WP_024372975.1,1,
R01230,WP_014230949.1,2,
R01231,WP_014230949.1,2,
R01248,WP_020333888.1,1,
R01248,WP_020334000.1,1,
R01251,WP_020333888.1,1,
R01251,WP_020334000.1,1,
R01253,WP_020335027.1,2,
R01253,WP_024372956.1,2,
R01286,WP_020332971.1,4,
R01286,WP_020335210.1,2,
R01288,WP_020334622.1,4,
R01324,WP_020333930.1,1,
R01325,WP_020333930.1,1,
R01353,WP_014232519.1,2,
R01353,WP_020336024.1,2,
R01360,WP_020333780.1,1,
R01360,WP_020336020.1,1,
R01364,WP_020333141.1,1,
R01372,WP_020333139.1,1,
R01373,WP_020333562.1,1,
R01373,WP_020335942.1,2,
R01398,WP_020334483.1,3,
R01466,WP_020335912.1,1,
R01492,WP_014232502.1,1,
R01512,WP_014233019.1,1,
R01513,WP_014233013.1,4,
R01518,WP_014233217.1,1,
R01528,WP_014231949.1,2,
R01528,WP_020336051.1,2,
R01529,WP_014233143.1,1,
R01547,WP_014231127.1,1,
R01560,WP_020336291.1,1,
R01561,WP_014232864.1,6,
R01561,WP_014233458.1,1,
R01561,WP_014234920.1,6,
R01569,WP_020332984.1,1,
R01569,WP_020333325.1,1,
R01569,WP_020334911.1,1,
R01569,WP_024372917.1,1,
R01569,WP_024372975.1,1,
R01570,WP_014233458.1,1,
R01600,WP_020335259.1,1,
R01641,WP_020333990.1,1,
R01641,WP_020334176.1,1,
R01648,WP_014234566.1,1,
R01648,WP_020335347.1,1,
R01648,WP_020336394.1,1,
R01648,WP_024373021.1,1,
R01655,WP_014231181.1,2,
R01658,WP_014231017.1,1,
R01664,WP_020332984.1,1,
R01664,WP_020333325.1,1,
R01664,WP_020334911.1,1,
R01664,WP_024372917.1,1,
R01664,WP_024372975.1,1,
R01676,WP_020333741.1,1,
R01676,WP_020336095.1,1,
R01698,WP_014232944.1,2,
R01698,WP_020336079.1,2,
R01710,WP_014235106.1,2,
R01711,WP_014235106.1,2,
R01714,WP_014232622.1,4,
R01715,WP_014230880.1,1,
R01715,WP_020335942.1,2,
R01728,WP_014230880.1,1,
R01731,WP_014232358.1,2,
R01731,WP_024372863.1,2,
R01752,WP_020333868.1,1,
R01771,WP_020335911.1,1,
R01773,WP_020334621.1,4,
R01773,WP_020335910.1,4,
R01775,WP_020334621.1,4,
R01775,WP_020335910.1,4,
R01777,WP_014232008.1,2,
R01786,WP_020335259.1,1,
R01799,WP_024373059.1,1,
R01800,WP_020334021.1,1,
R01825,WP_014233020.1,4,
R01826,WP_014233807.1,4,
R01826,WP_020333311.1,4,
R01826,WP_020335936.1,4,
R01827,WP_014233810.1,1,
R01830,WP_020333990.1,1,
R01830,WP_020334176.1,1,
R01857,WP_014230937.1,4,
R01858,WP_014230734.1,4,
R01858,WP_020335623.1,4,
R01863,WP_014232864.1,6,
R01863,WP_014233458.1,1,
R01863,WP_014234920.1,6,
R01868,WP_014231887.1,1,
R01870,WP_014230580.1,2,
R01876,WP_014233458.1,1,
R01899,WP_014231318.1,2,
R01900,WP_020333930.1,1,
R01954,WP_014233157.1,4,
R01968,WP_020332984.1,1,
R01968,WP_020333325.1,1,
R01968,WP_020334911.1,1,
R01968,WP_024372917.1,1,
R01968,WP_024372975.1,1,
R01969,WP_014232864.1,6,
R01969,WP_014234920.1,6,
R01976,WP_020334276.1,1,
R01986,WP_020333868.1,1,
R01993,WP_014234745.1,2,
R02003,WP_014231017.1,1,
R02021,WP_020334598.1,2,
R02035,WP_014231950.1,1,
R02036,WP_020336247.1,1,
R02055,WP_020336190.1,1,
R02060,WP_020333907.1,1,
R02085,WP_020333782.1,1,
R02085,WP_020336019.1,1,
R02088,WP_020332984.1,1,
R02088,WP_020333325.1,1,
R02088,WP_020334911.1,1,
R02088,WP_024372917.1,1,
R02088,WP_024372975.1,1,
R02090,WP_014230561.1,4,
R02093,WP_014230937.1,4,
R02102,WP_020332984.1,1,
R02102,WP_020333325.1,1,
R02102,WP_020334911.1,1,
R02102,WP_024372917.1,1,
R02102,WP_024372975.1,1,
R02135,WP_020334555.1,1,
R02147,WP_014232864.1,6,
R02147,WP_014233458.1,6,
R02147,WP_014234920.1,6,
R02199,WP_014234314.1,6,
R02235,WP_014230714.1,1,
R02236,WP_014230714.1,1,
R02237,WP_020334565.1,1,
